Mes,Ventas,Ganancias,Stock,Precio,Descuento (%),Región,Categoría del Producto,Producto,Costos Operativos,Devoluciones,Unidades Vendidas
Julio,500,1084,3229,310.73748888825406,12.09,Barcelona,Juguetes,Refrigerador,19,37,234
Septiembre,4860,310,1261,945.5763584504969,13.55,Sevilla,Electrónica,Tablet,21,18,141
Septiembre,9177,859,6649,877.66675644354,18.53,Granada,Electrónica,Libro,23,44,246
Enero,6165,117,4975,927.1968600820236,8.8,Toledo,Ropa,Microondas,19,29,84
Abril,4901,2333,9390,898.0941613209109,12.99,Bilbao,Hogar,Libro,13,44,469
Junio,9175,4028,4124,79.65611739846248,26.22,Murcia,Hogar,Microondas,12,13,404
Marzo,9799,4707,3403,69.34282398376696,27.73,Santander,Alimentos,Tablet,12,20,470
Abril,2059,2842,1884,381.23595472241215,13.53,Barcelona,Hogar,Muñeca,24,14,429
Diciembre,325,4866,700,166.1263545379141,4.59,Bilbao,Ropa,Tablet,17,38,112
Enero,1829,1782,6697,363.0215491519757,3.9,Madrid,Juguetes,Laptop,24,48,332
Julio,4051,3757,1486,615.2306588336404,13.47,Toledo,Juguetes,Refrigerador,18,35,56
Noviembre,8777,3859,5690,950.8527138221497,8.06,Granada,Alimentos,Zapatillas,29,41,387
Enero,1911,3785,3376,817.0589681373723,26.71,Málaga,Electrónica,Muñeca,11,29,482
Agosto,9884,3766,9169,863.4880962724476,11.5,Oviedo,Alimentos,Microondas,22,33,154
Abril,2281,2897,1664,453.0254836485448,24.12,Santander,Electrónica,Camiseta,28,18,424
Mayo,8802,693,6086,966.7275512327919,5.38,Córdoba,Electrónica,Refrigerador,25,14,352
Junio,4800,4039,9584,598.555936068326,11.67,Zaragoza,Juguetes,Refrigerador,30,42,141
Junio,3583,1073,3396,147.23783190636527,3.54,Madrid,Electrónica,Camiseta,18,49,379
Febrero,7505,116,3536,902.2051524752513,18.12,Oviedo,Juguetes,Laptop,27,14,165
Diciembre,6953,1762,9354,477.6280446149874,24.21,Madrid,Electrónica,Zapatillas,10,43,6
Enero,6023,2186,773,898.9892393212683,9.91,Barcelona,Alimentos,Laptop,22,6,90
Febrero,9093,937,1846,137.9890096211308,21.61,Logroño,Alimentos,Zapatillas,12,50,402
Junio,8038,838,337,474.36951016551103,11.75,Palma,Ropa,Microondas,29,7,74
Noviembre,6008,3269,1684,903.0793006880939,14.26,Córdoba,Ropa,Refrigerador,18,44,374
Septiembre,3853,1415,4590,693.7403478207475,28.4,Sevilla,Electrónica,Pelota,19,32,404
Diciembre,7526,2854,5410,211.5697467757896,14.16,Oviedo,Hogar,Pelota,14,32,205
Septiembre,3408,2291,5701,714.2786909593826,9.59,Palma,Alimentos,Pelota,20,47,302
Noviembre,2458,3046,1143,830.5741835912356,12.92,Santander,Alimentos,Libro,21,2,292
Agosto,9209,2540,9872,10.080639372320718,13.32,Barcelona,Alimentos,Libro,10,4,261
Mayo,5740,3124,7584,827.7860901857807,4.84,Málaga,Electrónica,Zapatillas,19,37,187
Mayo,2387,3085,8067,582.8311740593142,2.03,Málaga,Ropa,Pelota,19,42,209
Septiembre,2551,3080,9909,730.4112797421452,0.34,Logroño,Electrónica,Tablet,17,19,44
Marzo,2594,274,413,958.6599265029595,22.27,Madrid,Hogar,Libro,21,49,314
Enero,5123,555,6301,833.0984422027304,14.71,Sevilla,Hogar,Teléfono,15,13,214
Diciembre,672,3396,4235,14.24678895187298,4.85,Logroño,Juguetes,Refrigerador,21,45,93
Junio,1823,2400,7789,687.7626969151995,23.38,Valencia,Electrónica,Teléfono,14,29,220
Septiembre,6217,2206,1306,902.8915528100598,7.94,Madrid,Juguetes,Libro,13,26,447
Enero,3776,76,2711,665.0293505691363,6.36,Barcelona,Alimentos,Muñeca,21,23,154
Septiembre,7693,1169,5759,295.54397092525187,26.95,Oviedo,Ropa,Muñeca,29,33,455
Julio,3653,1936,2652,308.597546521085,11.95,Bilbao,Alimentos,Microondas,17,41,405
Enero,5722,998,9420,378.4446462652625,5.84,Málaga,Ropa,Refrigerador,14,20,157
Noviembre,3719,1273,5160,569.0359169278994,25.54,Santander,Alimentos,Zapatillas,26,14,340
Agosto,8389,1068,8821,928.7014406044784,6.97,Oviedo,Juguetes,Zapatillas,22,0,488
Agosto,2648,252,1870,500.5360297131418,29.85,Oviedo,Alimentos,Libro,12,46,75
Octubre,9529,2997,1273,106.31910782824895,15.08,Madrid,Alimentos,Pelota,23,22,80
Noviembre,9522,2209,9529,46.103449150775674,3.7,Toledo,Hogar,Libro,14,12,28
Julio,1619,4163,3135,133.73229326728597,20.96,Granada,Electrónica,Pelota,17,14,395
Enero,7020,4560,8476,680.324523192036,10.16,Granada,Hogar,Microondas,16,39,187
Diciembre,9241,3900,8378,268.125502333215,25.72,Bilbao,Juguetes,Pelota,17,9,477
Septiembre,1545,1415,4998,847.1215205335395,10.77,Granada,Hogar,Libro,29,6,36
Enero,1096,629,6643,539.4445108874972,28.34,Zaragoza,Alimentos,Muñeca,10,26,4
Julio,2724,1139,8979,780.9364516852938,25.45,Granada,Ropa,Microondas,23,48,32
Mayo,7166,3274,5667,308.6215011417798,20.32,Palma,Ropa,Refrigerador,24,6,440
Enero,1523,4902,4426,245.19339862730516,3.29,Valladolid,Alimentos,Muñeca,12,12,302
Junio,9004,256,8396,832.8614206431508,13.05,Málaga,Electrónica,Laptop,13,14,449
Febrero,7259,1954,1476,801.5838019051937,7.23,Toledo,Ropa,Refrigerador,18,24,237
Mayo,8241,552,4391,320.3728091143063,9.59,Barcelona,Hogar,Camiseta,19,41,485
Septiembre,1628,1569,7594,422.52567441501765,15.09,Valencia,Hogar,Camiseta,12,5,336
Enero,8877,3649,866,400.1955967210632,17.8,Madrid,Alimentos,Libro,26,22,389
Noviembre,1590,804,5591,831.3589263665574,4.65,Valladolid,Electrónica,Refrigerador,11,2,122
Junio,9538,812,5546,778.1061745727853,12.5,Valladolid,Hogar,Camiseta,20,42,67
Febrero,2371,4558,1985,792.5499875238896,11.7,Oviedo,Alimentos,Camiseta,30,42,238
Abril,3103,2620,5500,104.15462852812539,22.12,Murcia,Electrónica,Teléfono,19,49,108
Octubre,3054,2235,5993,696.2162466029199,17.99,Murcia,Juguetes,Zapatillas,18,46,234
Mayo,1981,3226,7476,351.48143809796744,22.35,Valencia,Alimentos,Tablet,11,31,380
Mayo,4866,123,4600,153.40029561457314,0.73,Málaga,Hogar,Libro,15,46,259
Agosto,7560,3773,9377,943.9603652115688,9.07,Valladolid,Electrónica,Camiseta,14,17,409
Febrero,5279,4978,2283,89.6302116836397,21.99,Palma,Electrónica,Pelota,27,14,303
Octubre,9847,4655,1600,983.3827115039651,12.4,Córdoba,Alimentos,Refrigerador,23,3,386
Diciembre,6278,3372,2905,656.9787469837,10.98,Barcelona,Juguetes,Muñeca,18,17,212
Julio,3480,2379,1448,70.51624653244427,24.71,Madrid,Hogar,Zapatillas,11,43,470
Septiembre,9042,3118,8558,359.50116714213914,27.06,Granada,Ropa,Tablet,23,41,181
Febrero,6821,3356,9654,35.866541147570544,1.86,Oviedo,Electrónica,Laptop,18,17,224
Junio,4802,4713,2918,135.44607420734562,19.32,Sevilla,Hogar,Pelota,15,42,443
Mayo,4588,2828,7652,88.96852116803868,26.66,Córdoba,Alimentos,Camiseta,18,0,26
Marzo,9152,3679,3668,787.5551553729431,13.51,Barcelona,Ropa,Libro,16,10,368
Noviembre,5453,4167,4989,234.56252197921438,20.65,Murcia,Electrónica,Libro,25,31,24
Abril,393,3164,385,242.79657816792889,5.27,Logroño,Electrónica,Microondas,21,32,242
Marzo,835,3525,1853,164.06499340134337,13.84,Palma,Ropa,Laptop,15,12,338
Enero,8999,515,4469,698.4481313435157,14.12,Bilbao,Juguetes,Refrigerador,20,45,144
Diciembre,1481,693,2674,141.49054774157145,19.66,Bilbao,Alimentos,Camiseta,19,48,443
Julio,7180,3201,5960,615.2748369194086,23.98,Málaga,Hogar,Camiseta,14,28,144
Abril,4583,595,9412,513.2167161949204,4.77,Valencia,Hogar,Muñeca,15,43,400
Agosto,3175,3023,4675,451.62529969756383,23.14,Valladolid,Electrónica,Tablet,21,20,290
Abril,6359,4672,3660,985.4652593417899,10.17,Granada,Hogar,Muñeca,13,48,160
Septiembre,5183,1289,8837,290.1613690877259,5.97,Murcia,Ropa,Teléfono,22,22,450
Febrero,6167,715,8079,783.0454759322229,21.98,Barcelona,Hogar,Camiseta,16,50,208
Junio,4727,1196,1466,798.0092884313614,0.2,Valladolid,Ropa,Muñeca,28,10,370
Septiembre,8057,2328,1566,552.8677770966386,13.99,Palma,Electrónica,Camiseta,17,0,286
Febrero,1754,2502,8288,764.9493829191731,13.14,Granada,Juguetes,Muñeca,19,36,392
Agosto,3276,2430,6673,878.9820771816591,1.07,Valencia,Juguetes,Zapatillas,10,45,361
Febrero,2307,842,9295,800.6735136035559,2.9,Toledo,Juguetes,Zapatillas,15,8,254
Noviembre,6154,4216,479,865.9788720138783,23.24,Zaragoza,Juguetes,Muñeca,20,13,159
Junio,8583,4782,8831,570.3645926970916,18.23,Málaga,Juguetes,Camiseta,12,15,47
Julio,9116,2932,6755,641.740501615781,18.14,Córdoba,Juguetes,Teléfono,24,49,54
Febrero,6455,1699,2807,689.1730480783186,23.39,Madrid,Electrónica,Laptop,27,15,438
Enero,9999,1551,5126,898.0143738237887,2.23,Santander,Hogar,Pelota,13,11,334
Febrero,1911,3196,2988,775.0331739608689,0.14,Bilbao,Juguetes,Laptop,26,37,151
Agosto,3047,4640,3033,256.6256667479851,21.14,Bilbao,Alimentos,Zapatillas,26,21,185
Junio,1715,1737,3712,905.2144517466442,20.72,Murcia,Alimentos,Teléfono,21,24,104
Septiembre,4485,2889,3131,458.38344912722414,23.11,Santander,Ropa,Muñeca,21,39,243
Noviembre,8225,773,8525,605.9522678192446,10.96,Palma,Juguetes,Muñeca,22,35,316
Agosto,1667,2865,9920,853.1020753774875,21.49,Logroño,Alimentos,Refrigerador,13,42,1
Agosto,9582,3374,1252,64.91010383929333,25.76,Málaga,Juguetes,Teléfono,11,21,195
Junio,631,1725,5217,317.0176870149696,17.28,Murcia,Juguetes,Tablet,29,45,185
Diciembre,7225,3680,2684,226.9516376730734,22.39,Granada,Juguetes,Tablet,12,12,134
Julio,7085,1065,8894,96.52253156379207,1.74,Granada,Ropa,Microondas,27,22,404
Julio,8099,1346,8795,623.0934526975967,20.02,Murcia,Hogar,Laptop,30,10,210
Julio,2363,3123,8028,869.1636925782141,3.37,Madrid,Electrónica,Camiseta,26,27,185
Abril,1776,160,2297,914.3698967013548,1.61,Oviedo,Alimentos,Microondas,19,15,358
Noviembre,1264,347,1656,475.1470560739468,27.92,Málaga,Juguetes,Pelota,17,50,8
Abril,3461,4994,7005,733.0464594004588,0.92,Oviedo,Ropa,Microondas,24,40,500
Marzo,8417,381,9448,715.6896651655729,12.88,Logroño,Juguetes,Teléfono,11,26,308
Julio,9429,2117,9567,583.9134021210916,20.61,Madrid,Ropa,Refrigerador,30,34,135
Mayo,1309,3885,249,934.0192229923412,2.92,Bilbao,Ropa,Muñeca,21,21,351
Marzo,4578,1408,9943,457.0207234611456,4.55,Barcelona,Alimentos,Microondas,24,8,447
Septiembre,7955,2409,7147,378.1967906749025,4.67,Santander,Ropa,Muñeca,18,0,327
Agosto,7722,498,7286,366.5932159538825,4.37,Granada,Juguetes,Microondas,28,44,143
Septiembre,5074,2487,2242,644.787597225501,4.4,Granada,Electrónica,Muñeca,10,14,165
Junio,2428,2672,8290,407.7980196682316,4.91,Barcelona,Alimentos,Libro,24,49,110
Enero,8877,803,6209,939.5655061061432,14.81,Bilbao,Juguetes,Libro,19,6,92
Septiembre,5046,3884,1067,290.7774377118888,5.09,Barcelona,Ropa,Teléfono,12,49,74
Abril,5222,4793,3603,849.7357227641379,29.72,Zaragoza,Electrónica,Muñeca,17,10,387
Julio,872,3149,925,887.2536856508132,24.4,Zaragoza,Hogar,Pelota,16,26,335
Febrero,8623,3324,5558,336.37704914897563,14.18,Zaragoza,Alimentos,Microondas,10,5,242
Octubre,8140,2162,6052,977.9656416180153,17.41,Valencia,Juguetes,Microondas,14,12,255
Agosto,9171,3859,2245,231.36807734859553,22.19,Toledo,Alimentos,Libro,14,1,247
Junio,6081,4312,6248,302.54021704763323,9.96,Logroño,Alimentos,Refrigerador,28,35,414
Agosto,7390,1198,6763,6.413000893646318,13.84,Barcelona,Juguetes,Microondas,29,24,172
Julio,5678,1953,365,584.1917843751534,22.77,Zaragoza,Ropa,Libro,20,40,468
Julio,2789,1198,5916,514.5572562340167,26.2,Santander,Ropa,Tablet,16,22,230
Enero,8959,4223,2127,719.1903601845203,0.52,Santander,Hogar,Teléfono,29,19,52
Abril,4326,2458,9586,932.4688356154425,11.82,Córdoba,Hogar,Zapatillas,30,34,281
Febrero,3594,3695,4435,248.01968569019976,2.23,Madrid,Hogar,Laptop,28,22,409
Julio,6460,4569,2032,918.4266393618556,19.5,Valladolid,Ropa,Muñeca,27,22,6
Abril,8960,3854,7405,253.78066979209282,5.81,Sevilla,Hogar,Laptop,22,32,140
Julio,8321,2877,8273,113.10097147564774,2.73,Valladolid,Electrónica,Zapatillas,16,40,112
Marzo,174,4364,1827,679.5548394042373,17.64,Logroño,Electrónica,Zapatillas,26,39,155
Agosto,7326,1116,9339,496.74543668473376,16.11,Logroño,Hogar,Microondas,25,25,167
Mayo,5359,3291,7798,79.36287150608098,15.39,Barcelona,Alimentos,Zapatillas,22,29,85
Noviembre,7931,3808,7928,24.519665801753135,23.18,Bilbao,Juguetes,Tablet,20,37,342
Marzo,2134,3292,6890,642.1104453630379,10.65,Granada,Alimentos,Libro,18,23,283
Noviembre,2555,4867,3935,551.0759527860262,27.44,Sevilla,Ropa,Pelota,17,14,275
Octubre,8066,2536,8779,724.9273700427822,26.66,Valladolid,Ropa,Muñeca,25,38,130
Septiembre,192,4195,4509,526.9010765812884,11.27,Murcia,Juguetes,Camiseta,23,29,288
Octubre,186,4636,7784,666.9748258725763,0.84,Sevilla,Ropa,Pelota,24,31,126
Julio,3586,1779,8133,866.8886254931522,21.32,Granada,Ropa,Laptop,15,32,494
Abril,4445,4926,3616,454.5059628871751,27.5,Murcia,Alimentos,Teléfono,12,18,276
Diciembre,914,2916,4195,19.55219736744731,2.87,Barcelona,Ropa,Pelota,24,42,43
Junio,7406,4031,8057,76.1230535604867,5.14,Córdoba,Juguetes,Muñeca,29,46,365
Agosto,4826,245,4778,844.490372442627,25.28,Toledo,Alimentos,Refrigerador,13,42,89
Diciembre,818,3408,7550,795.2247539131278,8.26,Barcelona,Ropa,Refrigerador,21,32,480
Marzo,9749,276,9975,944.7785853338601,23.69,Sevilla,Hogar,Teléfono,19,19,373
Abril,715,228,5726,972.7328021983188,25.46,Bilbao,Hogar,Libro,26,30,15
Abril,5468,401,1285,557.5373470074368,16.87,Murcia,Ropa,Pelota,27,25,80
Diciembre,6030,1044,1709,701.2629259307233,26.4,Barcelona,Hogar,Tablet,24,4,388
Noviembre,2177,1211,8133,355.7311797386307,7.62,Barcelona,Juguetes,Laptop,27,35,412
Marzo,577,3567,6522,145.82996371046238,11.05,Oviedo,Ropa,Laptop,18,32,122
Diciembre,3994,2121,4100,225.2901196008438,26.17,Bilbao,Juguetes,Tablet,21,15,467
Febrero,2663,1998,6338,463.371206941261,12.42,Santander,Juguetes,Pelota,13,37,212
Febrero,1550,3062,9708,257.43020635857675,23.24,Barcelona,Hogar,Laptop,25,18,329
Agosto,2974,2168,7729,490.64910921108685,5.85,Córdoba,Alimentos,Zapatillas,28,43,227
Abril,4470,2828,8287,65.05093214115348,29.4,Oviedo,Alimentos,Pelota,17,14,250
Octubre,3807,136,3670,105.5903639488211,2.71,Zaragoza,Ropa,Pelota,18,35,154
Febrero,2406,2738,5251,622.9876245103392,5.36,Madrid,Alimentos,Laptop,13,42,370
Diciembre,5269,2289,4991,991.7038881440841,21.15,Valencia,Electrónica,Microondas,22,3,472
Octubre,8743,283,4883,599.1102533992294,13.91,Oviedo,Alimentos,Tablet,30,3,282
Septiembre,3448,1172,9498,367.4738000720538,20.75,Sevilla,Electrónica,Libro,15,10,272
Septiembre,1649,1358,1068,966.7394980284914,23.08,Barcelona,Hogar,Pelota,14,31,153
Mayo,6960,4272,7152,678.881807458243,6.14,Santander,Juguetes,Microondas,28,42,455
Septiembre,7174,3353,5718,560.8889005774179,23.55,Zaragoza,Electrónica,Tablet,12,46,432
Abril,1294,4674,9813,104.70083284036268,4.03,Murcia,Alimentos,Zapatillas,27,7,430
Marzo,5496,1050,520,291.33869746568377,21.51,Bilbao,Hogar,Laptop,24,2,177
Agosto,2624,2215,3350,465.70728549228687,25.19,Valladolid,Hogar,Muñeca,26,40,223
Diciembre,8965,2757,7082,70.57145180992877,0.24,Sevilla,Juguetes,Zapatillas,18,34,88
Octubre,8277,238,9503,860.1618805015756,0.81,Barcelona,Alimentos,Libro,23,47,154
Marzo,586,1360,1557,44.52084027941784,4.36,Córdoba,Alimentos,Zapatillas,11,32,43
Septiembre,4966,2831,9107,304.609022444836,21.63,Valladolid,Alimentos,Teléfono,22,3,43
Noviembre,914,4905,3845,237.52786725705909,11.77,Oviedo,Electrónica,Muñeca,28,36,494
Agosto,1138,3919,1246,617.7713888601786,26.69,Valencia,Hogar,Pelota,24,26,252
Julio,2012,4979,8878,935.1770356809569,15.93,Sevilla,Ropa,Pelota,16,13,121
Septiembre,2247,5000,7649,193.21015007998014,13.46,Madrid,Alimentos,Camiseta,30,2,51
Diciembre,8297,2398,455,539.9776930175067,18.86,Palma,Electrónica,Zapatillas,16,2,9
Diciembre,7730,1228,5446,869.4314697900859,7.13,Oviedo,Ropa,Camiseta,16,23,343
Mayo,6869,2127,9908,988.8788183945168,15.91,Palma,Alimentos,Muñeca,24,9,161
Enero,2340,1812,8451,489.2824122918734,6.72,Toledo,Electrónica,Tablet,29,5,313
Agosto,4873,3916,1064,122.88201657180662,26.62,Córdoba,Alimentos,Microondas,23,11,491
Septiembre,4123,2907,5891,282.596218477453,18.04,Madrid,Electrónica,Pelota,27,42,71
Febrero,5034,2835,3009,249.6058923490801,26.86,Murcia,Juguetes,Refrigerador,21,40,374
Julio,4682,3156,7467,103.70138277452614,24.7,Madrid,Juguetes,Refrigerador,21,31,286
Septiembre,8826,386,264,623.6732813023365,20.68,Toledo,Alimentos,Microondas,17,35,220
Mayo,4004,4212,4736,351.4027544725977,12.14,Sevilla,Ropa,Camiseta,10,36,351
Agosto,1137,3024,7570,531.0469173698694,1.87,Málaga,Ropa,Refrigerador,14,49,257
Noviembre,6588,2686,5923,607.0827402785055,5.25,Málaga,Ropa,Laptop,28,9,124
Agosto,3669,2182,1194,963.0489462913142,11.19,Granada,Juguetes,Teléfono,12,10,101
Mayo,4499,3851,2277,94.08371980860528,16.97,Barcelona,Alimentos,Muñeca,28,25,77
Febrero,6110,3937,2173,69.65445893871167,19.81,Murcia,Electrónica,Teléfono,30,3,38
Julio,9649,3399,5884,93.05978536269305,18.36,Valladolid,Ropa,Refrigerador,15,7,180
Agosto,3213,1897,9564,483.71007577766983,12.48,Valencia,Juguetes,Pelota,26,1,226
Julio,6310,4492,7760,235.73477252300464,20.2,Murcia,Ropa,Muñeca,15,21,162
Abril,8242,2573,4470,111.8659078301834,2.24,Sevilla,Hogar,Teléfono,30,50,256
Febrero,4970,4774,2129,2.6119281471045586,12.38,Logroño,Hogar,Camiseta,26,41,360
Mayo,2784,4382,6198,176.866628653529,8.8,Zaragoza,Electrónica,Zapatillas,23,25,466
Diciembre,3567,3292,9006,398.4101128039229,20.11,Valencia,Ropa,Camiseta,20,47,397
Abril,8934,4190,6758,367.7246269126241,7.93,Zaragoza,Electrónica,Refrigerador,24,25,40
Diciembre,7723,2556,9656,585.492939111065,0.93,Madrid,Electrónica,Laptop,24,27,180
Marzo,3969,3361,4045,288.77068668780015,28.89,Murcia,Hogar,Muñeca,20,49,167
Julio,2554,569,8736,37.44900207227832,17.58,Logroño,Electrónica,Refrigerador,10,15,458
Septiembre,1006,3033,5594,854.9658554192498,11.07,Sevilla,Ropa,Teléfono,22,38,310
Enero,6280,243,2203,69.69609913593693,2.12,Santander,Juguetes,Tablet,21,11,89
Octubre,4963,1227,3054,467.99937236942765,23.34,Murcia,Electrónica,Laptop,30,38,403
Julio,4304,4173,2001,309.71247756756594,4.03,Bilbao,Electrónica,Refrigerador,27,3,302
Marzo,1627,329,6273,749.300715893391,24.55,Valencia,Ropa,Camiseta,26,20,234
Septiembre,3283,650,150,279.34589027965006,22.79,Granada,Juguetes,Pelota,12,24,130
Septiembre,6249,2783,1103,327.7436676267255,25.67,Córdoba,Hogar,Pelota,25,4,287
Noviembre,7920,4321,869,185.4043408727274,21.01,Toledo,Alimentos,Microondas,26,37,253
Febrero,3189,790,9833,940.2202525195895,0.06,Valladolid,Hogar,Refrigerador,24,32,105
Octubre,7392,3366,3307,731.1285755234494,27.42,Santander,Ropa,Muñeca,23,16,351
Febrero,6848,4339,1483,701.7175994268323,27.22,Granada,Ropa,Zapatillas,19,40,76
Abril,1562,3153,7214,305.87238274526106,2.67,Logroño,Juguetes,Refrigerador,18,19,27
Noviembre,6173,1826,3697,205.67311856538223,13.73,Logroño,Juguetes,Zapatillas,28,3,241
Marzo,7902,3019,8164,324.1390850313236,22.65,Zaragoza,Juguetes,Libro,24,34,178
Junio,4722,3393,3759,760.1821543652715,27.96,Palma,Electrónica,Muñeca,28,41,175
Agosto,8407,466,2942,609.3895387184577,8.79,Logroño,Electrónica,Libro,10,9,97
Septiembre,3374,4386,3181,260.3256196706586,5.12,Valencia,Juguetes,Microondas,11,1,288
Mayo,3876,3219,3327,467.7287554074393,20.86,Murcia,Ropa,Libro,28,50,30
Enero,1906,2790,3619,125.58655473653836,18.4,Oviedo,Alimentos,Muñeca,29,17,161
Agosto,2879,2887,9259,31.377218264642387,5.63,Palma,Alimentos,Tablet,10,24,147
Agosto,3461,4122,9090,19.820654060491528,17.11,Murcia,Hogar,Pelota,25,18,452
Octubre,1559,240,2110,95.17385057755327,0.64,Logroño,Electrónica,Tablet,27,35,128
Octubre,5705,4433,3688,553.5276304292091,16.68,Toledo,Juguetes,Muñeca,21,20,465
Octubre,4482,4647,4648,940.6861671960813,22.38,Madrid,Hogar,Laptop,20,7,254
Febrero,4480,4689,3322,686.4548490693847,4.6,Toledo,Electrónica,Camiseta,27,0,111
Septiembre,2875,4641,1704,104.5496942519172,18.48,Logroño,Alimentos,Refrigerador,15,42,414
Noviembre,6744,1669,1088,729.3388265072786,7.57,Bilbao,Juguetes,Muñeca,29,12,107
Septiembre,3781,1221,1265,601.6223996588491,8.89,Barcelona,Ropa,Libro,12,7,466
Marzo,9838,3655,8348,446.5313747709271,6.46,Madrid,Alimentos,Zapatillas,23,33,11
Febrero,2065,3302,6056,960.08745271767,25.4,Málaga,Electrónica,Laptop,24,18,463
Agosto,2037,895,188,898.090207162587,22.14,Granada,Electrónica,Zapatillas,17,9,468
Mayo,3397,2790,131,268.7383419178853,5.6,Murcia,Hogar,Laptop,23,34,231
Septiembre,1262,3271,6011,365.5853451292344,22.15,Valencia,Ropa,Muñeca,14,2,264
Febrero,713,422,1734,634.2825021798541,2.39,Sevilla,Alimentos,Pelota,22,45,208
Febrero,2107,3051,422,367.582509136453,9.06,Sevilla,Hogar,Muñeca,16,26,167
Octubre,9040,1577,9340,361.1624119271994,27.75,Málaga,Juguetes,Microondas,11,49,115
Marzo,3649,3537,5861,936.651343248878,7.04,Málaga,Alimentos,Zapatillas,17,37,26
Noviembre,3026,1288,7883,882.1095844371051,18.91,Bilbao,Alimentos,Laptop,19,19,301
Septiembre,1089,2191,6381,259.87623735131194,5.41,Oviedo,Juguetes,Libro,26,40,261
Febrero,5089,3293,9920,252.14703618481315,9.08,Valladolid,Hogar,Muñeca,11,1,285
Enero,4161,3899,9654,935.6467256075365,28.57,Toledo,Alimentos,Refrigerador,27,0,468
Diciembre,9096,3853,3851,209.1073228437347,25.88,Santander,Alimentos,Microondas,13,19,117
Noviembre,3651,3927,983,249.89687332019787,19.9,Santander,Ropa,Tablet,27,11,63
Diciembre,7782,4748,1952,143.4912926314317,5.49,Córdoba,Juguetes,Refrigerador,16,0,8
Noviembre,1581,349,8116,128.6252647829295,25.36,Santander,Electrónica,Teléfono,19,32,52
Diciembre,6017,3232,7813,877.2271534715012,28.52,Palma,Ropa,Laptop,23,36,458
Octubre,4656,1413,8742,921.6892989614092,10.1,Sevilla,Hogar,Refrigerador,16,35,54
Febrero,8503,2373,9606,255.7353961670467,1.12,Toledo,Hogar,Tablet,19,42,466
Noviembre,5255,2630,8085,96.10169857061626,5.45,Zaragoza,Electrónica,Zapatillas,29,17,396
Febrero,7500,4610,1624,749.3990133680882,17.01,Barcelona,Alimentos,Microondas,19,20,482
Diciembre,9445,2446,4748,197.65201414712857,13.75,Málaga,Ropa,Microondas,11,3,111
Noviembre,4571,2537,6800,643.8729581495325,1.32,Valencia,Hogar,Pelota,24,22,123
Abril,4423,262,7542,953.0253766786549,22.55,Málaga,Ropa,Tablet,18,29,460
Octubre,967,4003,965,418.9460202025847,28.79,Logroño,Ropa,Teléfono,29,43,452
Mayo,9055,2256,740,198.1665988255439,18.5,Toledo,Juguetes,Laptop,21,22,64
Marzo,442,340,5766,88.81773307364877,20.61,Málaga,Alimentos,Microondas,23,24,479
Abril,280,131,6536,56.94249940568376,0.21,Santander,Juguetes,Pelota,11,27,197
Julio,1950,1211,616,253.75928703806704,24.46,Palma,Alimentos,Microondas,28,37,250
Enero,8416,1070,6878,829.044364650382,25.31,Santander,Electrónica,Microondas,21,33,85
Septiembre,7189,1091,7983,174.67371368239446,14.6,Logroño,Ropa,Tablet,24,37,169
Octubre,2601,203,3790,502.3484529844612,21.47,Toledo,Electrónica,Laptop,13,25,456
Julio,2434,4558,5387,471.05540383620456,29.75,Santander,Alimentos,Zapatillas,21,30,477
Mayo,4831,1623,9756,450.9043005655194,6.0,Granada,Hogar,Zapatillas,22,27,81
Noviembre,7887,596,6905,938.975173813209,7.29,Bilbao,Alimentos,Teléfono,24,44,356
Marzo,8787,2568,2174,172.19887622923403,20.57,Oviedo,Alimentos,Teléfono,29,36,7
Marzo,5301,1781,8805,791.3639567534259,7.7,Oviedo,Electrónica,Refrigerador,10,35,214
Enero,8643,2987,9845,968.1856491254968,10.84,Santander,Alimentos,Zapatillas,28,50,46
Marzo,4512,555,3437,391.16199730143,3.58,Valencia,Electrónica,Libro,11,48,170
Junio,5981,4388,4466,643.5515515587773,11.02,Oviedo,Ropa,Pelota,13,28,251
Octubre,2700,2669,5941,146.1054921392489,22.21,Palma,Alimentos,Camiseta,11,43,73
Diciembre,4406,680,1707,414.24324049442674,22.6,Madrid,Alimentos,Pelota,12,38,99
Abril,9418,2604,7188,129.4655131281739,22.54,Granada,Ropa,Laptop,23,11,471
Abril,768,3802,2696,554.1576988456322,22.16,Madrid,Alimentos,Tablet,16,15,384
Enero,1712,1526,9153,533.0994855872779,27.86,Madrid,Juguetes,Tablet,16,10,244
Diciembre,249,4644,191,65.08895853679827,25.3,Santander,Electrónica,Zapatillas,26,42,24
Febrero,2398,2026,8638,120.92612202033303,29.45,Oviedo,Hogar,Tablet,25,11,78
Marzo,3959,2722,2560,549.2902608774968,15.53,Murcia,Juguetes,Teléfono,24,25,15
Junio,6215,551,6182,941.1970802862795,10.1,Zaragoza,Ropa,Pelota,20,3,47
Enero,465,3629,1989,953.252163654438,18.53,Santander,Juguetes,Tablet,17,45,97
Septiembre,1872,3930,7715,751.1238956653123,19.97,Palma,Electrónica,Microondas,30,5,390
Mayo,8792,3579,7283,877.0849820113848,16.06,Valladolid,Ropa,Microondas,16,22,364
